valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2022-07-01 00:00:00,station3402_Holnis,10.7,19.1,9.9,,8.3,13.8,8.9,14.9,9.0,15.7,0.9781476007338057,-0.20791169081775934,0.9743700647852352,-0.22495105434386503,0.9975640502598242,-0.06975647374412533,0.9998476951563913,-0.017452406437283477,0.9945218953682733,-0.10452846326765355,7.38,13.76,0.9936309925413221,0.1126829652669247
2022-07-01 03:00:00,station3402_Holnis,,,,,,,9.7,16.1,,,,,,,,,0.9876883405951378,-0.1564344650402308,,,11.55,15.26,0.989348686247074,-0.1455650267790614
2022-07-01 06:00:00,station3402_Holnis,8.3,13.4,7.3,,8.9,15.5,8.0,14.7,11.3,14.6,-0.34202014332566866,-0.9396926207859084,-0.6427876096865393,-0.766044443118978,0.6156614753256584,-0.7880107536067219,0.7313537016191706,-0.6819983600624984,0.5877852522924732,-0.8090169943749473,4.24,8.27,-0.6320293026648508,-0.7749444887041796
2022-07-01 09:00:00,station3402_Holnis,,,,,,,12.3,21.9,,,,,,,,,-0.9986295347545738,0.052335956242943946,,,4.15,9.01,-0.9778563478690789,0.20927723940301518
2022-07-01 12:00:00,station3402_Holnis,14.3,16.2,10.2,,10.7,20.0,11.4,19.3,13.0,15.9,-0.9975640502598243,0.06975647374412522,-0.9659258262890683,-0.25881904510252063,-0.9925461516413221,-0.12186934340514717,-0.9702957262759965,-0.24192189559966779,-0.9702957262759965,-0.24192189559966779,4.28,8.98,-0.9749556454839603,-0.22239939149861537
2022-07-01 15:00:00,station3402_Holnis,,,,,,,8.0,18.3,,,,,,,,,-0.9975640502598242,-0.06975647374412558,,,4.92,10.67,-0.996917333733128,-0.07845909572784468
2022-07-01 18:00:00,station3402_Holnis,8.1,14.0,7.2,,5.9,9.8,7.3,12.5,5.7,9.5,-0.9396926207859084,-0.34202014332566855,-0.9961946980917455,-0.08715574274765825,-0.984807753012208,-0.17364817766693033,-0.961261695938319,-0.2756373558169989,-0.9455185755993168,-0.32556815445715664,4.76,10.15,-0.9842881944068097,0.1765693924534552
2022-07-01 21:00:00,station3402_Holnis,,,,,,,5.4,9.8,,,,,,,,,-0.8660254037844384,-0.5000000000000004,,,2.95,6.0,-0.8454483058790255,-0.5340572648005882
2022-07-02 00:00:00,station3402_Holnis,7.0,8.2,4.9,,6.3,10.7,6.8,11.9,6.8,8.9,-0.7771459614569706,-0.6293203910498378,-0.7880107536067221,-0.6156614753256581,-0.7986355100472928,-0.6018150231520483,-0.848048096156426,-0.529919264233205,-0.587785252292473,-0.8090169943749475,2.63,5.01,-0.8001036359678467,-0.599861793841741
2022-07-02 03:00:00,station3402_Holnis,,,,,,,4.8,9.2,,,,,,,,,-0.6691306063588582,-0.7431448254773942,,,3.52,6.56,-0.669000892927837,-0.7432615994801269
