valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2022-10-28 12:00:00,station3529_schausende,7.2,14.6,4.8,,6.8,11.5,7.2,12.5,7.1,9.5,-0.43837114678907746,-0.8987940462991669,-0.275637355816999,-0.9612616959383189,-0.29237170472273677,-0.9563047559630354,-0.43837114678907746,-0.8987940462991669,-0.35836794954530043,-0.9335804264972016,0.0,0.18,-0.9993908270190958,0.03489949670250128
2022-10-30 09:00:00,station3529_schausende,,,,,,,5.3,9.2,,,,,,,,,-0.6156614753256582,-0.788010753606722,,,0.26,0.0,-0.4533683492551947,-0.8913232521894735
2022-11-05 12:00:00,station3529_schausende,11.2,14.8,9.6,,11.1,18.8,10.0,17.9,10.3,14.0,-0.8290375725550418,-0.5591929034707466,-0.9396926207859084,-0.34202014332566855,-0.8386705679454242,-0.544639035015027,-0.8290375725550418,-0.5591929034707466,-0.9455185755993168,-0.32556815445715664,0.71,2.55,-0.6156614753256582,0.7880107536067221
2022-11-07 15:00:00,station3529_schausende,,,,,,,10.4,21.6,,,,,,,,,-0.7986355100472928,-0.6018150231520483,,,1.1,2.2,-0.6156614753256582,0.7880107536067221
2022-11-09 18:00:00,station3529_schausende,9.4,18.9,10.2,,11.8,20.0,11.7,20.1,5.9,13.0,-0.7660444431189779,-0.6427876096865395,-0.6691306063588582,-0.7431448254773942,-0.6691306063588582,-0.7431448254773942,-0.656059028990507,-0.7547095802227721,-0.39073112848927355,-0.9205048534524404,1.1,2.2,-0.6156614753256582,0.7880107536067221
2022-11-18 12:00:00,station3529_schausende,18.8,25.1,21.4,,17.1,31.6,16.0,32.2,16.4,21.8,0.9612616959383189,-0.27563735581699905,0.9612616959383189,-0.27563735581699905,0.9335804264972017,-0.35836794954530027,0.9396926207859084,-0.3420201433256687,0.9702957262759965,-0.24192189559966779,1.1,2.2,-0.6156614753256582,0.7880107536067221
2023-02-15 12:00:00,station3529_schausende,6.6,10.4,5.1,,5.4,8.8,5.5,9.5,6.0,7.4,-0.7071067811865475,-0.7071067811865477,-0.7431448254773944,-0.6691306063588581,-0.48480962024633695,-0.8746197071393959,-0.5299192642332048,-0.8480480961564261,-0.587785252292473,-0.8090169943749475,0.52,2.38,0.5337621151380928,0.8456346755208832
2023-02-15 15:00:00,station3529_schausende,,,,,,,5.4,9.3,,,,,,,,,-0.5150380749100542,-0.8571673007021123,,,0.79,3.26,0.8609196635356098,0.5087409290962664
2023-02-15 18:00:00,station3529_schausende,6.0,12.6,6.8,,5.5,8.7,5.1,8.3,6.7,12.3,-0.5446390350150271,-0.838670567945424,-0.5299192642332048,-0.8480480961564261,-0.275637355816999,-0.9612616959383189,-0.39073112848927355,-0.9205048534524404,-0.39073112848927355,-0.9205048534524404,1.19,3.87,0.6433222529096221,0.7655955060678505
2023-02-15 21:00:00,station3529_schausende,,,,,,,5.9,9.7,,,,,,,,,-0.5000000000000001,-0.8660254037844386,,,1.56,6.31,0.8340784336131712,0.5516458706284302
2023-02-16 00:00:00,station3529_schausende,9.0,23.9,7.8,,7.4,12.0,7.5,12.4,9.6,23.7,-0.7986355100472928,-0.6018150231520483,-0.7771459614569706,-0.6293203910498378,-0.7071067811865475,-0.7071067811865477,-0.7431448254773944,-0.6691306063588581,-0.7880107536067221,-0.6156614753256581,2.1,8.36,0.9063077870366499,0.42261826174069944
2023-02-16 03:00:00,station3529_schausende,,,,,,,7.4,12.3,,,,,,,,,-0.7771459614569706,-0.6293203910498378,,,2.03,8.8,0.9497537691320669,0.3129980479482782
2023-02-16 06:00:00,station3529_schausende,8.5,19.8,7.5,,7.3,12.0,7.0,11.7,7.7,13.4,-0.656059028990507,-0.7547095802227721,-0.7771459614569706,-0.6293203910498378,-0.7071067811865475,-0.7071067811865477,-0.7431448254773944,-0.6691306063588581,-0.913545457642601,-0.4067366430758001,1.3,6.48,0.977710006508212,0.20995986086324217
2023-02-16 09:00:00,station3529_schausende,,,,,,,8.5,14.1,,,,,,,,,-0.7193398003386512,-0.6946583704589973,,,2.23,9.95,0.980132944891586,0.19834165053802327
2023-02-16 12:00:00,station3529_schausende,8.1,18.3,7.6,,8.9,15.5,9.4,15.5,8.8,12.3,-0.874619707139396,-0.48480962024633684,-0.9510565162951535,-0.30901699437494756,-0.8290375725550418,-0.5591929034707466,-0.8290375725550418,-0.5591929034707466,-0.9205048534524403,-0.3907311284892738,3.82,14.22,0.9694025209142287,0.24547658227443656
2023-02-16 15:00:00,station3529_schausende,,,,,,,8.5,16.0,,,,,,,,,-0.9455185755993168,-0.32556815445715664,,,2.28,10.22,0.9804432899092753,0.19680181724739435
