lead_hours,target,model,rmse,mae,bias,r2,rows,angular_mae_deg,xgb_rmse,improvement_pct
1,gust,iconeu,8.493171779512661,7.451698113207547,7.306289308176099,-1.3728059140371829,477,,2.6042640388032674,69.33696731431588
2,gust,iconeu,8.438516731723588,7.392294736842104,7.234736842105264,-1.384349496355231,475,,2.440097332849658,71.08381235204044
3,gust,iconeu,8.439764486040588,7.430945378151261,7.227710084033614,-1.3293500181102962,476,,2.5749426021133104,69.49035004030884
4,gust,iconeu,8.483088219760232,7.43475890985325,7.25748427672956,-1.3681335168730873,477,,2.6638645735169235,68.59793857487179
5,gust,iconeu,8.419945277792051,7.370759493670886,7.186793248945148,-1.3714103406441418,474,,2.5131259368133456,70.15270463286956
6,gust,ifs,8.251275134802558,7.368312236286919,7.185443037974685,-1.1913577163049505,237,,2.501051682469422,69.68890696759843
7,gust,iconeu,8.40048591781822,7.352331932773109,7.131197478991596,-1.3229753208068633,476,,2.622330923146806,68.78358051187735
8,gust,ifs,8.228316445386854,7.335762711864408,7.232372881355933,-1.3605789312766765,236,,2.5150794206104643,69.4338515381172
9,gust,iconeu,8.326581817764868,7.315886075949366,7.071244725738397,-1.2661351903476454,474,,2.626857634010959,68.45214889492199
10,gust,ifs,8.26470565075798,7.418818565400844,7.295696202531645,-1.2550927642135465,237,,2.790864556049931,66.23153111576367
11,gust,ifs,8.287436836684423,7.421779661016948,7.30864406779661,-1.1955035350367762,236,,2.6220212559565463,68.3614933347046
12,gust,ifs,8.139655205498988,7.326652542372882,7.128855932203389,-1.1308463005752554,236,,2.5280111553849185,68.94203634476993
