lead_hours,spot,target,model,rmse,mae,bias,r2,angular_mae_deg,rows,xgb_rmse,improvement_pct
1,Schausende,speed,ifs,4.645231131914489,4.203193277310924,3.571848739495799,-0.46002146457596105,,238,1.2417435903572593,73.26842184824748
2,Schausende,speed,ifs,4.593126859340112,4.127510548523206,3.584894514767932,-0.5890637323463088,,237,1.1308684521533308,75.37911564855405
3,Schausende,speed,ifs,4.784813555019936,4.308781512605041,3.7128991596638654,-0.5878156734218791,,238,1.3229034114740292,72.35203845955253
4,Schausende,speed,ifs,4.602570253801289,4.128319327731092,3.6778991596638657,-0.5348851061592594,,238,1.302072796418697,71.70987677280303
5,Schausende,speed,ifs,4.551286320700531,4.1003797468354435,3.5570042194092832,-0.3888092347662748,,237,1.2320289659685515,72.93009318343833
6,Schausende,speed,ifs,4.480911883536305,4.050379746835443,3.3698734177215193,-0.28518794072786613,,237,1.336309233165468,70.17773908754346
7,Schausende,speed,ifs,4.564177652881056,4.121344537815125,3.5009243697479,-0.40946413619785593,,238,1.298489698207599,71.55041286817679
8,Schausende,speed,ifs,4.409852413072885,3.9591525423728817,3.4837288135593223,-0.4578828031870439,,236,1.2126315688405371,72.50176524625348
9,Schausende,speed,ifs,4.566968637033275,4.149367088607596,3.5815189873417728,-0.4440332221723402,,237,1.3755099926560332,69.88133482016703
10,Schausende,speed,ifs,4.402022214625804,3.9507594936708856,3.5478902953586497,-0.40035672768075026,,237,1.3619047517271707,69.06183827963848
11,Schausende,speed,ifs,4.434266558885949,4.022923728813558,3.464618644067797,-0.3126517845792738,,236,1.2700669301723828,71.35790297434284
12,Schausende,speed,ifs,4.391191008664536,3.9844915254237288,3.3295762711864407,-0.23237172717953514,,236,1.3545486753473535,69.1530458894954
