spot,lead_hours,target,model,rmse,mae,bias,r2,angular_mae_deg,rows
Schausende,1,speed,XGBoost,1.2417435903572593,0.8972691142379958,0.39158688496868477,0.891684933740892,,479
Schausende,1,speed,gfs,6.919030514717964,6.10652719665272,5.850209205020921,-2.2474013662519248,,239
Schausende,1,speed,harmeu,5.297976640695545,4.734937238493724,4.108953974895397,-0.9677950064287009,,478
Schausende,1,speed,iconeu,5.00766406332026,4.427756813417191,3.9318658280922434,-0.7543746268109572,,477
Schausende,1,speed,ifs,4.645231131914489,4.203193277310924,3.571848739495799,-0.46002146457596105,,238
Schausende,1,speed,mean_ensemble,5.2978184106152035,4.721899791231733,4.245198329853863,-0.9716015563947069,,479
Schausende,1,speed,median_ensemble,5.241259968202279,4.683945720250522,4.181398747390397,-0.9297294227977668,,479
Schausende,1,speed,metno,6.935886455277515,6.006820083682008,5.601464435146443,-2.2652875447436,,239
Schausende,1,speed,wrfeuh,4.78724796135298,4.178826086956521,3.6031739130434786,-0.8166943002293512,,230
Schausende,2,speed,XGBoost,1.1308684521533308,0.8567655241596638,0.17970508483193282,0.9090650919062645,,476
Schausende,2,speed,gfs,6.922714591179125,6.166470588235295,5.922100840336134,-2.618765945655119,,238
Schausende,2,speed,harmeu,5.110024770122011,4.5575,4.004936974789916,-0.8567458649631929,,476
Schausende,2,speed,iconeu,4.938199544048631,4.350905263157895,3.8277052631578945,-0.730346508444087,,475
Schausende,2,speed,ifs,4.593126859340112,4.127510548523206,3.584894514767932,-0.5890637323463088,,237
Schausende,2,speed,mean_ensemble,5.229847917836376,4.658137254901961,4.183249299719888,-0.9448431187104012,,476
Schausende,2,speed,median_ensemble,5.157658314168774,4.604936974789916,4.1097689075630255,-0.8915228401556432,,476
Schausende,2,speed,metno,6.875858856979035,5.972447257383966,5.605105485232067,-2.5551956292452367,,237
Schausende,2,speed,wrfeuh,4.928635868917918,4.287161572052403,3.8278602620087328,-1.0437141905818406,,229
Schausende,3,speed,XGBoost,1.3229034114740292,0.9273156789517819,0.2574786665828092,0.883283295993324,,477
Schausende,3,speed,gfs,7.033863398561521,6.362092050209204,6.029958158995815,-2.4405988360506305,,239
Schausende,3,speed,harmeu,5.1571116353330195,4.60566037735849,3.9961006289308174,-0.7737393764998579,,477
Schausende,3,speed,icon,5.399950023013734,4.805355648535565,4.309037656903766,-1.027802523819461,,239
Schausende,3,speed,iconeu,5.021258756108703,4.445378151260504,3.832016806722689,-0.6780045890590816,,476
Schausende,3,speed,ifs,4.784813555019936,4.308781512605041,3.7128991596638654,-0.5878156734218791,,238
Schausende,3,speed,mean_ensemble,5.298051785182345,4.746063691724069,4.18366177498253,-0.872014205427502,,477
Schausende,3,speed,median_ensemble,5.2060110395000345,4.667547169811321,4.099245283018869,-0.8075358159566024,,477
Schausende,3,speed,metno,6.967914641683085,6.11109243697479,5.666302521008404,-2.3625468446918156,,238
Schausende,3,speed,wrfeuh,5.127754572570897,4.549391304347827,4.126608695652174,-1.0838635338094584,,230
