model,1,2,3,4,5,6,7,8,9,10,11,12
XGBoost,2.604,2.44,2.575,2.664,2.513,2.501,2.622,2.515,2.627,2.791,2.622,2.528
gfs,11.216,11.286,11.459,11.449,11.2,10.992,11.232,11.347,11.464,11.484,11.206,11.01
harmeu,10.609,10.483,10.274,10.282,10.236,10.123,10.152,10.152,10.038,10.034,10.021,9.937
icon,,,9.15,,,8.762,,,9.078,,,8.775
iconeu,8.493,8.439,8.44,8.483,8.42,8.375,8.4,8.357,8.327,8.439,8.407,8.382
ifs,8.565,8.534,8.758,8.634,8.524,8.251,8.405,8.228,8.367,8.265,8.287,8.14
mean_ensemble,9.714,9.737,9.642,9.778,9.701,9.502,9.612,9.543,9.401,9.532,9.502,9.372
median_ensemble,9.556,9.537,9.461,9.528,9.432,9.274,9.37,9.3,9.199,9.296,9.245,9.149
metno,11.383,11.569,11.503,11.356,11.249,11.149,11.499,11.563,11.438,11.177,11.147,11.075
wrfeuh,10.775,11.806,12.441,12.667,12.496,12.127,12.174,11.969,11.942,11.786,11.745,11.547
