model,1,2,3,4,5,6,7,8,9,10,11,12
XGBoost,1.242,1.131,1.323,1.302,1.232,1.336,1.298,1.213,1.376,1.362,1.27,1.355
gfs,6.919,6.923,7.034,6.915,6.8,6.757,6.854,6.856,6.96,6.867,6.772,6.734
harmeu,5.298,5.11,5.157,5.164,5.055,5.135,5.15,5.053,5.095,5.079,4.992,5.064
icon,,,5.4,,,5.219,,,5.386,,,5.232
iconeu,5.008,4.938,5.021,5.011,4.914,4.98,4.966,4.885,4.958,4.987,4.906,4.977
ifs,4.645,4.593,4.785,4.603,4.551,4.481,4.564,4.41,4.567,4.402,4.434,4.391
mean_ensemble,5.298,5.23,5.298,5.313,5.219,5.234,5.225,5.137,5.185,5.207,5.138,5.183
median_ensemble,5.241,5.158,5.206,5.231,5.134,5.155,5.154,5.077,5.127,5.128,5.053,5.102
metno,6.936,6.876,6.968,6.868,6.842,6.824,6.975,6.921,6.955,6.787,6.8,6.787
wrfeuh,4.787,4.929,5.128,5.228,5.236,5.103,4.996,4.837,4.868,4.929,5.021,4.925
