spot,model,target,rmse,mae,bias,r2
Schausende,XGBoost,gust,2.584,1.994,1.63,0.779
Schausende,ifs,gust,8.413,7.52,7.363,-1.338
Schausende,iconeu,gust,8.414,7.38,7.174,-1.338
Schausende,icon,gust,8.941,7.873,7.664,-1.624
Schausende,median_ensemble,gust,9.362,8.319,8.206,-1.899
Schausende,mean_ensemble,gust,9.586,8.555,8.459,-2.04
Schausende,harmeu,gust,10.195,8.977,8.834,-2.438
Schausende,gfs,gust,11.279,10.128,10.027,-3.215
Schausende,metno,gust,11.342,10.0,9.9,-3.256
Schausende,wrfeuh,gust,11.956,10.566,10.438,-3.981
Schausende,XGBoost,speed,1.287,0.921,0.267,0.885
Schausende,ifs,speed,4.536,4.092,3.532,-0.425
Schausende,iconeu,speed,4.963,4.379,3.796,-0.702
Schausende,wrfeuh,speed,4.999,4.377,3.937,-0.9
Schausende,harmeu,speed,5.113,4.557,3.933,-0.809
Schausende,median_ensemble,speed,5.147,4.6,4.07,-0.834
Schausende,mean_ensemble,speed,5.222,4.662,4.146,-0.888
Schausende,icon,speed,5.309,4.697,4.117,-0.886
Schausende,gfs,speed,6.866,6.094,5.83,-2.275
Schausende,metno,speed,6.878,5.973,5.554,-2.28
